,Team_name,Year,Win_precent
0,Boston Bruins,1990,0.55
1,Buffalo Sabres,1990,0.388
2,Calgary Flames,1990,0.575
3,Chicago Blackhawks,1990,0.613
4,Detroit Red Wings,1990,0.425
5,Edmonton Oilers,1990,0.463
6,Hartford Whalers,1990,0.388
7,Los Angeles Kings,1990,0.575
8,Minnesota North Stars,1990,0.338
9,Montreal Canadiens,1990,0.487
10,New Jersey Devils,1990,0.4
11,New York Islanders,1990,0.312
12,New York Rangers,1990,0.45
13,Philadelphia Flyers,1990,0.412
14,Pittsburgh Penguins,1990,0.512
15,Quebec Nordiques,1990,0.2
16,St. Louis Blues,1990,0.588
17,Toronto Maple Leafs,1990,0.287
18,Vancouver Canucks,1990,0.35
19,Washington Capitals,1990,0.463
20,Winnipeg Jets,1990,0.325
21,Boston Bruins,1991,0.45
22,Buffalo Sabres,1991,0.388
23,Calgary Flames,1991,0.388
24,Chicago Blackhawks,1991,0.45
